,CityName,CropName,Today's FQP/Average Price,Yesterday's FQP/Average Price,Change in Price
0,Lahore,Brinjal,6050,6450,-400
1,Lahore,Cauliflower,4600,4100,500
2,Lahore,Cucumber (Kheera),4600,4100,500
3,Lahore,Watermelon,5100,5550,-450
4,Lahore,Green Chilli,9750,10250,-500
5,Faisalabad,Onion,5750,5200,550
6,Faisalabad,Tomato,7200,6750,450
7,Faisalabad,Spinach,2650,2500,150
8,Faisalabad,Lady Finger/Okra (بھنڈی توری),18500,19500,-1000
9,Faisalabad,Garlic (Local),14500,17500,-3000
10,Faisalabad,Cucumber (Kheera),4750,3800,950
11,Faisalabad,Melon,8600,8750,-150
12,Faisalabad,Turmeric Whole(ثابت ہلدی),8550,8750,-200
13,Faisalabad,Tindian,5750,6050,-300
14,Gujranwala,Onion,6250,5300,950
15,Gujranwala,Bitter Gourd (کریلا),15900,15800,100
16,Gujranwala,Cauliflower,4800,4600,200
17,Gujranwala,Peas,9300,8150,1150
18,Gujranwala,Cucumber (Kheera),5100,4500,600
19,Gujranwala,Fenugreek(میتھی),5900,5300,600
20,Okara,Mash Pulse(Imported) washed,39750,41750,-2000
21,Okara,Maize,8350,8395,-45
22,Okara,Potato Fresh,1175,1100,75
23,Okara,Onion,5750,5250,500
24,Okara,Bitter Gourd (کریلا),13750,14750,-1000
25,Okara,Carrot,2750,3250,-500
26,Okara,Banana(DOZEN),218,225,-7
27,Okara,Bottle Gourd (کدو),7250,7750,-500
28,Okara,sugarcane(گنڈ یری),11750,9750,2000
29,Sargodha,Onion,5750,5150,600
30,Sargodha,Tomato,7150,6750,400
31,Sargodha,Cauliflower,4750,4400,350
32,Sargodha,Garlic (Local),14500,17500,-3000
33,Sargodha,Cucumber (Kheera),4250,3800,450
34,Sargodha,Green Chilli,7750,7250,500
35,Rawalpindi,Onion,7950,6150,1800
36,Rawalpindi,Tomato,7950,7050,900
37,Rawalpindi,Brinjal,6350,6600,-250
38,Rawalpindi,Bitter Gourd (کریلا),13150,14050,-900
39,Rawalpindi,Cauliflower,6150,5700,450
40,Rawalpindi,Radish,2950,2500,450
41,Rawalpindi,Carrot,6150,5700,450
42,Rawalpindi,Guava,13150,12750,400
43,Rawalpindi,Cabbage,5250,4750,500
44,Rawalpindi,Ginger (Thai),27850,26900,950
45,Rawalpindi,Cucumber (Kheera),4750,3400,1350
46,Rawalpindi,Melon,8150,7300,850
47,Rawalpindi,Watermelon,6600,6150,450
48,Rawalpindi,Green Chilli,7050,6150,900
49,Rawalpindi,Lemon (China),8850,8400,450
50,Rawalpindi,Sweet Musk Melon,11350,10900,450
51,Rawalpindi,Bottle Gourd (کدو),8850,9550,-700
52,Rawalpindi,Zucchini (گھیا توری),10950,10450,500
53,Rawalpindi,Fenugreek(میتھی),8650,7750,900
54,Rawalpindi,Cocoyam(اروی),10000,9350,650
55,Rawalpindi,Mustard Greens(ساگ سرسوں),3400,2700,700
56,Rawalpindi,Coriander (دھنیا),9100,8550,550
57,Rawalpindi,Cocunut,44550,43150,1400
58,Multan,Brinjal,4750,5750,-1000
59,Multan,Red Chilli Whole (Dry),46250,46315,-65
60,Multan,Lady Finger/Okra (بھنڈی توری),14500,17500,-3000
61,Multan,Bitter Gourd (کریلا),10500,11500,-1000
62,Multan,Tinda Desi,24500,26500,-2000
63,Multan,Cauliflower,6750,8250,-1500
64,Multan,Carrot,2000,2500,-500
65,Multan,Apple (Ammre),22000,22500,-500
66,Multan,Pomegranate(Kandhari),53500,55000,-1500
67,Multan,Cucumber (Kheera),3750,3350,400
68,Multan,Watermelon,6750,7500,-750
69,Multan,Strawberry,19500,17500,2000
70,Multan,Lemon (Desi),23500,24500,-1000
71,Multan,Bottle Gourd (کدو),5750,6250,-500
72,Multan,Zucchini (گھیا توری),4750,5250,-500
73,Multan,sugarcane(گنڈ یری),8250,7750,500
74,RahimYarKhan,Onion,5228,4318,910
75,RahimYarKhan,Garlic (China),43864,41364,2500
76,RahimYarKhan,Tomato,4793,5664,-871
77,RahimYarKhan,Brinjal,5664,4793,871
78,RahimYarKhan,Lady Finger/Okra (بھنڈی توری),13941,14812,-871
79,RahimYarKhan,Bitter Gourd (کریلا),9149,10020,-871
80,RahimYarKhan,Peas,12273,10455,1818
81,RahimYarKhan,Carrot,3268,2832,436
82,RahimYarKhan,Banana(DOZEN),135,140,-5
83,RahimYarKhan,Ginger (Thai),23864,25227,-1363
84,RahimYarKhan,Cucumber (Kheera),4139,3268,871
85,RahimYarKhan,Strawberry,22654,19605,3049
86,RahimYarKhan,Capsicum (شملہ مرچ),4793,3921,872
87,RahimYarKhan,Lemon (China),10892,10020,872
88,RahimYarKhan,Bottle Gourd (کدو),4793,3921,872
89,Bhalwal,Onion,6250,5650,600
90,Bhalwal,Tomato,7650,7250,400
91,Bhalwal,Lady Finger/Okra (بھنڈی توری),19500,20500,-1000
92,Bhalwal,Cauliflower,5250,4800,450
93,Bhalwal,Carrot,3800,4000,-200
94,Bhalwal,Garlic (Local),15500,18500,-3000
95,Bhalwal,Cucumber (Kheera),4750,4200,550
96,Bhalwal,Green Chilli,8250,7750,500
97,Sahiwal,Mash Pulse(Imported) washed,39650,39600,50
98,Sahiwal,Masoor Whole(local),18600,19200,-600
99,Sahiwal,Masoor Pulse(local),18650,19200,-550
100,Sahiwal,Onion,5850,5050,800
